short_name,full_name,country
ACI,"Advanced Chemical Industries PLC.",Bangladesh
ACME,"ACME Laboratories Ltd.",Bangladesh
Ad-din,"Ad-din Pharmaceuticals Ltd.",Bangladesh
Aexim Pharma,Aexim Pharmaceuticals Ltd.,Bangladesh
Al-Madina Pharma,Al-Madina Pharmaceuticals Ltd.,Bangladesh
Albion Laboratories,Albion Laboratories Ltd.,Bangladesh
Albion Specialized Pharma,Albion Specialized Pharma Ltd.,Bangladesh
Alco Pharma,Alco Pharma Ltd.,Bangladesh
Alien Pharma,Alien Pharma,Bangladesh
Alkad Laboratories,Alkad Laboratories,Bangladesh
Allied Pharma,Allied Pharmaceuticals Ltd.,Bangladesh
Ambee Pharma,Ambee Pharmaceuticals Ltd.,Bangladesh
Amico Laboratories,Amico Laboratories Ltd.,Bangladesh
Amulet Pharma,Amulet Pharmaceuticals Ltd.,Bangladesh
APC Pharma,APC Pharma Ltd.,Bangladesh
Apex Pharma,Apex Pharmaceuticals Ltd.,Bangladesh
Apollo Pharma,Apollo Pharmaceutical Ltd.,Bangladesh
AqVida Bangladesh,AqVida Bangladesh,Bangladesh
Arges Life Science,Arges Life Science Ltd.,Bangladesh
Aristopharma,Aristopharma Ltd.,Bangladesh
Army Pharma,Army Pharma Ltd.,Bangladesh
Asiatic Laboratories,Asiatic Laboratories Ltd.,Bangladesh
Astra Biopharmaceuticals,Astra Biopharmaceuticals Ltd.,Bangladesh
Avarox Pharma,Avarox Pharmaceuticals Ltd.,Bangladesh
Aztec Pharma,Aztec Pharmaceuticals Ltd.,Bangladesh
Beacon Pharma,Beacon Pharmaceuticals PLC.,Bangladesh
Beauty Formulas,Beauty Formulas,Bangladesh
Belsen Pharma,Belsen Pharmaceuticals Ltd.,Bangladesh
Bengal drugs Ltd.,Bengal drugs Ltd.,Bangladesh
Benham Pharma,Benham Pharmaceuticals Ltd.,Bangladesh
Beximco Pharma,Beximco Pharmaceuticals Ltd.,Bangladesh
Bexter Pharma,Bexter Pharmaceuticals,Bangladesh
Biocell Ayurvedic,Biocell Ayurvedic Ltd.,Bangladesh
Biogen Pharma,Biogen Pharmaceuticals Ltd.,Bangladesh
Biopharma,Biopharma Ltd.,Bangladesh
BOTS,BOTS Pvt. Ltd.,Bangladesh
Bright HealthCare,Bright HealthCare,Bangladesh
Bristol Pharma,Bristol Pharmaceuticals Ltd.,Bangladesh
Bronson Laboratories,Bronson Laboratories (BD) Ltd.,Bangladesh
C2C Pharma,C2C Pharma Ltd.,Bangladesh
